year,resp_id,agency,LOAN_TYPE,prop_type,PURPOSE,OCCUPANCY,AMNTCH,amnt,pre_app,ACTION,ma,state,county,tract,app_eth,coapp_eth,app_race1,app_race2,app_race3,app_race4,app_race5,coap_race1,coap_race2,coap_race3,coap_race4,coap_race5,app_sex,coapp_sex,app_incch,app_inc,purch_type,denial1,denial2,denial3,spreadch,spread,hoepa,lienstatus,EDITSTATUS,seqno,POPCH,POP,MINPOPCH,MINPOP,MED_INCCH,MED_INC,TCT2MSACH,TCT2MSA,OWNOCCCH,OWNOCC,OWNOCC4CH,OWNOCC4,app_flag
2011,451965,9,1,1,1,1,264,264,3,6,34820,45,51,516.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,101347,7371,7371,10.53,10.53,54300,54300,108.36,108.36,2824,2824,3726,3726,2
2011,451965,9,1,1,1,2,145,145,3,6,34820,45,51,513,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,101355,4396,4396,2.66,2.66,54300,54300,109.59,109.59,1626,1626,4152,4152,2
2011,451965,9,1,1,1,2,93,93,3,6,34820,45,51,514.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,101361,6294,6294,4.35,4.35,54300,54300,94.06,94.06,2609,2609,2631,2631,2
2011,451965,9,1,1,1,1,108,108,3,6,34820,45,51,514.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,101366,6972,6972,7.09,7.09,54300,54300,131.35,131.35,2375,2375,2796,2796,2
2011,451965,9,2,1,1,1,165,165,3,6,34820,45,51,602.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,102125,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,2
2011,451965,9,1,1,1,2,99,99,3,6,34820,45,51,602.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,102341,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,2
2011,451965,9,1,1,3,2,104,104,3,6,34820,45,51,602.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,102473,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,2
2011,451965,9,2,1,1,1,157,157,3,6,34820,45,51,515,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,103755,10010,10010,17.69,17.69,54300,54300,109.78,109.78,2654,2654,3800,3800,2
2011,451965,9,2,1,1,1,173,173,3,6,34820,45,51,602.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,104193,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,2
2011,451965,9,2,1,3,1,198,198,3,6,34820,45,51,704,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,104397,3412,3412,72.07,72.07,54300,54300,65.74,65.74,742,742,1262,1262,2
2011,451965,9,2,1,1,1,146,146,3,6,34820,45,51,602.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,104942,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,2
2011,451965,9,2,1,3,1,232,232,3,6,34820,45,51,512,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,105233,4127,4127,3.88,3.88,54300,54300,121.81,121.81,1277,1277,3041,3041,2
2011,451965,9,2,1,3,1,115,115,3,6,34820,45,51,604.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,106611,2847,2847,11.42,11.42,54300,54300,101.82,101.82,933,933,1426,1426,2
2011,451965,9,2,1,1,1,117,117,3,6,34820,45,51,602.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,110611,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,2
2011,451965,9,1,1,3,2,201,201,3,6,34820,45,51,502,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,111195,1475,1475,5.42,5.42,54300,54300,150.07,150.07,569,569,830,830,2
2011,451965,9,2,1,1,1,172,172,3,6,34820,45,51,602.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,111502,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,2
2011,451965,9,1,1,3,1,68,68,3,6,34820,45,51,511,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,113551,948,948,2.53,2.53,54300,54300,103.95,103.95,441,441,1970,1970,2
2011,451965,9,1,1,3,1,42,42,3,6,34820,45,51,513,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,113568,4396,4396,2.66,2.66,54300,54300,109.59,109.59,1626,1626,4152,4152,2
2011,451965,9,3,1,1,1,82,82,3,6,34820,45,51,702,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,114815,2944,2944,10.94,10.94,54300,54300,127.62,127.62,922,922,1237,1237,2
2011,451965,9,2,1,1,1,290,290,3,6,34820,45,51,602.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,116340,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,2
2011,451965,9,1,1,1,1,90,90,3,6,34820,45,51,602.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,116599,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,2
2011,451965,9,1,1,1,2,26,26,3,6,34820,45,51,514.02,4,4,7,,,,,7,,,,,4,4,NA,,6,,,,NA,,2,4,,116882,6972,6972,7.09,7.09,54300,54300,131.35,131.35,2375,2375,2796,2796,2
2011,451965,9,2,1,1,1,108,108,3,6,34820,45,51,504,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,117769,4328,4328,6.03,6.03,54300,54300,147.11,147.11,1244,1244,1691,1691,2
2011,451965,9,2,1,3,1,100,100,3,6,34820,45,51,514.01,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,117845,6294,6294,4.35,4.35,54300,54300,94.06,94.06,2609,2609,2631,2631,2
2011,451965,9,2,1,1,1,183,183,3,6,34820,45,51,604.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,118952,8245,8245,14.21,14.21,54300,54300,110.63,110.63,2344,2344,3014,3014,2
2011,451965,9,1,1,3,2,162,162,3,6,34820,45,51,514.02,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,118972,6972,6972,7.09,7.09,54300,54300,131.35,131.35,2375,2375,2796,2796,2
2011,451965,9,2,1,1,1,151,151,3,6,34820,45,51,301,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,120198,5625,5625,46.15,46.15,54300,54300,80.07,80.07,1767,1767,2300,2300,2
2011,451965,9,1,1,1,1,176,176,3,6,34820,45,51,504,4,4,7,,,,,7,,,,,4,4,NA,,0,,,,NA,,2,4,,120784,4328,4328,6.03,6.03,54300,54300,147.11,147.11,1244,1244,1691,1691,2
2011,451965,9,1,1,1,1,100,100,3,6,34820,45,51,503,4,4,7,,,,,7,,,,,4,4,NA,,9,,,,NA,,2,4,,120788,2534,2534,3.51,3.51,54300,54300,147.87,147.87,965,965,1076,1076,2
2011,451965,9,1,1,1,1,166,166,3,6,34820,45,51,602.01,2,5,5,,,,,8,,,,,1,5,35,35,0,,,,NA,,2,4,,128819,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,2
2011,451965,9,1,1,3,1,187,187,3,6,34820,45,51,602.02,3,5,6,,,,,8,,,,,3,5,60,60,0,,,,NA,,2,4,,129259,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,2
2011,451965,9,1,1,3,1,448,448,3,6,34820,45,51,603,2,5,5,,,,,8,,,,,2,5,203,203,0,,,,NA,,2,4,,129325,5208,5208,40.73,40.73,54300,54300,94.72,94.72,1613,1613,2114,2114,2
2011,451965,9,1,1,3,1,88,88,3,6,34820,45,51,515,2,5,5,,,,,8,,,,,1,5,82,82,0,,,,NA,,2,4,,129566,10010,10010,17.69,17.69,54300,54300,109.78,109.78,2654,2654,3800,3800,2
2011,451965,9,1,1,1,2,1430,1430,2,3,34820,45,51,603,2,5,5,,,,,8,,,,,2,5,576,576,0,3,,,NA,,2,1,6,130314,5208,5208,40.73,40.73,54300,54300,94.72,94.72,1613,1613,2114,2114,0
2011,451965,9,1,1,3,1,112,112,3,1,34820,45,51,702,2,2,5,,,,,5,,,,,1,2,84,84,1,,,,NA,,2,1,,131864,2944,2944,10.94,10.94,54300,54300,127.62,127.62,922,922,1237,1237,0
2011,451965,9,1,1,3,2,82,82,3,1,34820,45,51,509,2,2,5,,,,,5,,,,,1,2,98,98,3,,,,NA,,2,1,,132099,5403,5403,26.32,26.32,54300,54300,77.69,77.69,1364,1364,2207,2207,0
2011,451965,9,1,1,1,2,268,268,2,1,34820,45,51,602.01,2,2,5,,,,,5,,,,,1,2,140,140,1,,,,NA,,2,1,,132565,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,0
2011,451965,9,1,1,3,2,370,370,3,3,34820,45,51,402,2,2,5,,,,,5,,,,,2,1,225,225,0,9,,,NA,,2,1,,132666,3428,3428,12.78,12.78,54300,54300,117.12,117.12,1202,1202,3560,3560,0
2011,451965,9,1,1,3,2,147,147,3,1,34820,45,51,602.02,2,2,5,,,,,5,,,,,1,2,83,83,3,,,,NA,,2,1,,132804,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,2,91,91,3,1,34820,45,51,603,2,2,5,,,,,5,,,,,1,2,175,175,1,,,,NA,,2,1,,133037,5208,5208,40.73,40.73,54300,54300,94.72,94.72,1613,1613,2114,2114,0
2011,451965,9,1,1,3,2,349,349,3,3,34820,45,51,404,2,2,5,,,,,5,,,,,1,2,300,300,0,4,,,NA,,2,1,,133791,3417,3417,6.56,6.56,54300,54300,96.34,96.34,1086,1086,2806,2806,0
2011,451965,9,1,1,1,2,150,150,2,3,34820,45,51,506,3,5,6,,,,,8,,,,,1,5,350,350,0,4,,,NA,,2,1,,134190,3705,3705,64.94,64.94,54300,54300,71.66,71.66,511,511,1029,1029,0
2011,451965,9,1,1,3,1,223,223,3,1,34820,45,51,602.02,2,5,5,,,,,8,,,,,1,5,80,80,1,,,,NA,,2,1,,135544,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,1,197,197,3,1,34820,45,51,401,2,5,5,,,,,8,,,,,1,5,95,95,3,,,,NA,,2,1,,136683,12738,12738,20.47,20.47,54300,54300,102.79,102.79,4668,4668,5586,5586,0
2011,451965,9,1,1,3,2,116,116,3,3,34820,45,51,502,3,5,6,,,,,8,,,,,3,5,50,50,0,1,6,,NA,,2,1,,137033,1475,1475,5.42,5.42,54300,54300,150.07,150.07,569,569,830,830,0
2011,451965,9,1,1,3,2,300,300,3,4,34820,45,51,513,3,3,6,,,,,6,,,,,3,3,263,263,0,,,,NA,,2,1,,140211,4396,4396,2.66,2.66,54300,54300,109.59,109.59,1626,1626,4152,4152,0
2011,451965,9,1,1,1,1,86,86,2,1,34820,45,51,515,2,2,5,,,,,5,,,,,1,2,33,33,1,,,,NA,,2,1,,141199,10010,10010,17.69,17.69,54300,54300,109.78,109.78,2654,2654,3800,3800,0
2011,451965,9,1,1,1,2,71,71,2,3,34820,45,51,516.02,2,2,5,,,,,5,,,,,1,2,213,213,0,3,,,NA,,2,1,,150416,7371,7371,10.53,10.53,54300,54300,108.36,108.36,2824,2824,3726,3726,0
2011,451965,9,1,1,1,2,100,100,2,4,34820,45,51,402,2,2,5,,,,,5,,,,,1,2,344,344,0,,,,NA,,2,1,,152413,3428,3428,12.78,12.78,54300,54300,117.12,117.12,1202,1202,3560,3560,0
2011,451965,9,1,1,1,2,81,81,2,3,34820,45,51,602.02,2,5,5,,,,,8,,,,,1,5,102,102,0,4,,,NA,,2,1,,155665,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,2,90,90,3,3,34820,45,51,515,2,2,5,,,,,5,,,,,2,1,44,44,0,6,,,NA,,2,1,,156006,10010,10010,17.69,17.69,54300,54300,109.78,109.78,2654,2654,3800,3800,0
2011,451965,9,1,1,3,2,140,140,3,3,34820,45,51,403,2,5,5,,,,,8,,,,,1,5,300,300,0,4,,,NA,,2,1,,159126,2955,2955,3.86,3.86,54300,54300,116.36,116.36,1231,1231,2630,2630,0
2011,451965,9,1,1,3,2,72,72,3,1,34820,45,51,403,2,5,5,,,,,8,,,,,2,5,49,49,0,,,,NA,,2,1,,159408,2955,2955,3.86,3.86,54300,54300,116.36,116.36,1231,1231,2630,2630,0
2011,451965,9,1,1,3,1,140,140,3,1,34820,45,51,603,2,2,5,,,,,5,,,,,1,2,41,41,1,,,,NA,,2,1,,160096,5208,5208,40.73,40.73,54300,54300,94.72,94.72,1613,1613,2114,2114,0
2011,451965,9,1,1,3,1,112,112,3,2,34820,45,51,512,2,2,5,,,,,5,,,,,1,2,106,106,0,,,,NA,,2,1,,160444,4127,4127,3.88,3.88,54300,54300,121.81,121.81,1277,1277,3041,3041,0
2011,451965,9,1,1,3,1,98,98,3,1,34820,45,51,516.02,2,2,5,,,,,5,,,,,1,2,61,61,1,,,,NA,,2,1,,160751,7371,7371,10.53,10.53,54300,54300,108.36,108.36,2824,2824,3726,3726,0
2011,451965,9,1,1,3,2,180,180,3,1,34820,45,51,603,2,2,5,,,,,5,,,,,2,1,133,133,1,,,,NA,,2,1,,161534,5208,5208,40.73,40.73,54300,54300,94.72,94.72,1613,1613,2114,2114,0
2011,451965,9,1,1,3,1,53,53,3,3,34820,45,51,514.02,2,5,5,,,,,8,,,,,2,5,30,30,0,3,1,,NA,,2,1,,162615,6972,6972,7.09,7.09,54300,54300,131.35,131.35,2375,2375,2796,2796,0
2011,451965,9,1,1,3,2,158,158,3,1,34820,45,51,403,2,5,5,,,,,8,,,,,2,5,94,94,3,,,,NA,,2,1,,163973,2955,2955,3.86,3.86,54300,54300,116.36,116.36,1231,1231,2630,2630,0
2011,451965,9,1,1,3,1,107,107,3,1,34820,45,51,707,2,5,5,,,,,8,,,,,1,5,45,45,3,,,,NA,,2,1,,164511,8445,8445,22.75,22.75,54300,54300,87.13,87.13,2410,2410,3253,3253,0
2011,451965,9,1,1,3,1,111,111,3,1,34820,45,51,401,2,2,5,,,,,5,,,,,2,1,71,71,3,,,,NA,,2,1,,165352,12738,12738,20.47,20.47,54300,54300,102.79,102.79,4668,4668,5586,5586,0
2011,451965,9,1,1,3,1,99,99,3,1,34820,45,51,401,2,2,5,,,,,5,,,,,2,1,116,116,3,,,,NA,,2,1,,165415,12738,12738,20.47,20.47,54300,54300,102.79,102.79,4668,4668,5586,5586,0
2011,451965,9,1,1,3,2,139,139,3,1,34820,45,51,602.02,2,2,5,,,,,5,,,,,1,2,133,133,3,,,,NA,,2,1,,166000,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,2,267,267,3,2,34820,45,51,604.02,2,2,5,,,,,5,,,,,2,1,140,140,0,,,,NA,,2,1,,166302,8245,8245,14.21,14.21,54300,54300,110.63,110.63,2344,2344,3014,3014,0
2011,451965,9,1,1,3,2,201,201,3,1,34820,45,51,403,2,2,5,,,,,5,,,,,1,2,166,166,1,,,,NA,,2,1,,166423,2955,2955,3.86,3.86,54300,54300,116.36,116.36,1231,1231,2630,2630,0
2011,451965,9,1,1,1,1,306,306,2,1,34820,45,51,602.02,2,2,5,,,,,5,,,,,2,1,85,85,1,,,,NA,,2,1,,167387,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,1,205,205,3,1,34820,45,51,602.02,3,3,6,,,,,6,,,,,3,3,98,98,1,,,,NA,,2,1,,167496,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,2,1,90,90,3,1,34820,45,51,514.02,2,5,5,,,,,8,,,,,2,5,79,79,0,,,,NA,,2,1,,167724,6972,6972,7.09,7.09,54300,54300,131.35,131.35,2375,2375,2796,2796,0
2011,451965,9,2,1,1,1,122,122,2,1,34820,45,51,604.02,2,5,3,,,,,8,,,,,2,5,65,65,2,,,,NA,,2,1,,167908,8245,8245,14.21,14.21,54300,54300,110.63,110.63,2344,2344,3014,3014,0
2011,451965,9,1,1,3,1,195,195,3,2,34820,45,51,401,2,2,5,,,,,5,,,,,1,2,179,179,0,,,,NA,,2,1,,167913,12738,12738,20.47,20.47,54300,54300,102.79,102.79,4668,4668,5586,5586,0
2011,451965,9,1,1,3,2,90,90,3,2,34820,45,51,512,2,5,5,,,,,8,,,,,2,5,62,62,0,,,,NA,,2,1,,168504,4127,4127,3.88,3.88,54300,54300,121.81,121.81,1277,1277,3041,3041,0
2011,451965,9,1,1,3,1,145,145,3,1,34820,45,51,504,2,2,5,,,,,2,,,,,1,2,144,144,3,,,,NA,,2,1,,169372,4328,4328,6.03,6.03,54300,54300,147.11,147.11,1244,1244,1691,1691,0
2011,451965,9,1,1,3,2,205,205,3,1,34820,45,51,501,2,2,5,,,,,5,,,,,1,2,240,240,0,,,,NA,,2,1,,169927,2559,2559,5,5,54300,54300,126.54,126.54,947,947,808,808,0
2011,451965,9,1,1,3,1,67,67,3,1,34820,45,51,603,2,5,5,,,,,8,,,,,2,5,45,45,0,,,,NA,,2,1,,170000,5208,5208,40.73,40.73,54300,54300,94.72,94.72,1613,1613,2114,2114,0
2011,451965,9,1,1,3,2,262,262,3,3,34820,45,51,405,2,2,5,,,,,5,,,,,1,2,182,182,0,4,,,NA,,2,1,,170154,3777,3777,15.78,15.78,54300,54300,121.12,121.12,1296,1296,2988,2988,0
2011,451965,9,1,1,3,2,194,194,3,3,34820,45,51,504,2,2,2,,,,,2,,,,,2,1,150,150,0,4,,,NA,,2,1,,170298,4328,4328,6.03,6.03,54300,54300,147.11,147.11,1244,1244,1691,1691,0
2011,451965,9,1,1,3,2,144,144,3,3,34820,45,51,501,2,2,5,,,,,5,,,,,2,1,67,67,0,7,4,,NA,,2,1,,171058,2559,2559,5,5,54300,54300,126.54,126.54,947,947,808,808,0
2011,451965,9,1,1,3,1,211,211,3,3,34820,45,51,503,2,2,5,,,,,5,,,,,2,1,90,90,0,4,,,NA,,2,1,,171825,2534,2534,3.51,3.51,54300,54300,147.87,147.87,965,965,1076,1076,0
2011,451965,9,1,1,3,2,299,299,3,1,34820,45,51,404,2,5,5,,,,,8,,,,,2,5,62,62,3,,,,NA,,2,1,,172538,3417,3417,6.56,6.56,54300,54300,96.34,96.34,1086,1086,2806,2806,0
2011,451965,9,1,1,3,1,45,45,3,1,34820,45,51,604.02,2,2,5,,,,,5,,,,,1,2,22,22,3,,,,NA,,2,1,,173557,8245,8245,14.21,14.21,54300,54300,110.63,110.63,2344,2344,3014,3014,0
2011,451965,9,1,1,1,1,110,110,2,1,34820,45,51,516.01,2,2,5,,,,,5,,,,,1,2,45,45,1,,,,NA,,2,1,,174089,4732,4732,20.05,20.05,54300,54300,98.79,98.79,1385,1385,1845,1845,0
2011,451965,9,1,1,1,2,194,194,2,1,34820,45,51,404,2,2,5,,,,,5,,,,,1,2,137,137,1,,,,NA,,2,1,,174423,3417,3417,6.56,6.56,54300,54300,96.34,96.34,1086,1086,2806,2806,0
2011,451965,9,1,1,1,2,152,152,2,1,34820,45,51,404,2,2,5,,,,,5,,,,,1,2,94,94,1,,,,NA,,2,1,,175873,3417,3417,6.56,6.56,54300,54300,96.34,96.34,1086,1086,2806,2806,0
2011,451965,9,1,1,1,2,96,96,2,1,34820,45,51,707,2,2,5,,,,,5,,,,,1,2,93,93,3,,,,NA,,2,1,,177126,8445,8445,22.75,22.75,54300,54300,87.13,87.13,2410,2410,3253,3253,0
2011,451965,9,1,1,3,1,128,128,3,1,34820,45,51,516.01,2,2,5,,,,,5,,,,,2,1,106,106,1,,,,NA,,2,1,,177209,4732,4732,20.05,20.05,54300,54300,98.79,98.79,1385,1385,1845,1845,0
2011,451965,9,1,1,3,1,280,280,3,1,34820,45,51,801,2,5,5,,,,,8,,,,,1,5,80,80,1,,,,NA,,2,1,,177929,5334,5334,14.53,14.53,54300,54300,97.16,97.16,1651,1651,2278,2278,0
2011,451965,9,1,1,1,1,44,44,2,1,34820,45,51,801,2,5,5,,,,,8,,,,,1,5,37,37,3,,,,NA,,2,1,,178344,5334,5334,14.53,14.53,54300,54300,97.16,97.16,1651,1651,2278,2278,0
2011,451965,9,1,1,3,2,129,129,3,1,34820,45,51,602.02,2,2,5,,,,,5,,,,,1,2,199,199,1,,,,NA,,2,1,,179177,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,2,94,94,3,1,34820,45,51,602.02,2,2,5,,,,,5,,,,,1,2,199,199,1,,,,NA,,2,1,,179240,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,1,133,133,3,1,34820,45,51,516.02,2,5,5,,,,,8,,,,,2,5,38,38,1,,,,NA,,2,1,,179918,7371,7371,10.53,10.53,54300,54300,108.36,108.36,2824,2824,3726,3726,0
2011,451965,9,1,1,3,1,225,225,3,2,34820,45,51,516.01,2,2,5,,,,,5,,,,,1,2,88,88,0,,,,NA,,2,1,,180403,4732,4732,20.05,20.05,54300,54300,98.79,98.79,1385,1385,1845,1845,0
2011,451965,9,1,1,3,2,160,160,3,3,34820,45,51,505,2,2,5,,,,,5,,,,,1,2,229,229,0,4,9,,NA,,2,1,,184915,4568,4568,9.68,9.68,54300,54300,120.72,120.72,1230,1230,1828,1828,0
2011,451965,9,1,1,3,1,63,63,3,2,34820,45,51,503,3,5,6,,,,,8,,,,,1,5,125,125,0,,,,NA,,2,1,,185699,2534,2534,3.51,3.51,54300,54300,147.87,147.87,965,965,1076,1076,0
2011,451965,9,2,1,1,1,140,140,2,1,34820,45,51,602.02,2,5,5,,,,,8,,,,,1,5,61,61,2,,,,NA,,2,1,,185920,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,2,215,215,3,2,34820,45,51,402,2,2,5,,,,,5,,,,,1,2,365,365,0,,,,NA,,2,1,,186427,3428,3428,12.78,12.78,54300,54300,117.12,117.12,1202,1202,3560,3560,0
2011,451965,9,1,1,3,1,124,124,3,1,34820,45,51,301,2,5,5,,,,,8,,,,,2,5,53,53,1,,,,NA,,2,1,,188282,5625,5625,46.15,46.15,54300,54300,80.07,80.07,1767,1767,2300,2300,0
2011,451965,9,1,1,1,1,122,122,2,1,34820,45,51,602.01,2,5,5,,,,,8,,,,,1,5,125,125,1,,,,NA,,2,1,,188582,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,0
2011,451965,9,1,1,3,1,109,109,3,1,34820,45,51,602.02,2,2,5,,,,,5,,,,,1,2,53,53,3,,,,NA,,2,1,,189328,3338,3338,14.44,14.44,54300,54300,100.73,100.73,778,778,879,879,0
2011,451965,9,1,1,3,2,150,150,3,3,34820,45,51,403,2,5,5,,,,,8,,,,,2,5,100,100,0,4,,,NA,,2,1,,190489,2955,2955,3.86,3.86,54300,54300,116.36,116.36,1231,1231,2630,2630,0
2011,451965,9,1,1,3,1,142,142,3,3,34820,45,51,602.01,2,5,5,,,,,8,,,,,1,5,105,105,0,7,,,NA,,2,1,,190985,7049,7049,11.59,11.59,54300,54300,107.08,107.08,1867,1867,2338,2338,0